Date,Open,High,Low,Close,Adj Close,Volume
2008-07-01,140.179993,147.270004,120.419998,124.080002,124.080002,6083909
2008-08-01,124.059998,128.600006,111.339996,115.459999,115.459999,5692611
2008-09-01,116.650002,130.000000,90.510002,100.639999,100.639999,5950416
2008-10-01,101.860001,102.839996,61.299999,67.809998,67.809998,5903035
2008-11-01,67.370003,71.769997,48.250000,54.430000,54.430000,4752064
2008-12-01,54.619999,54.619999,32.400002,44.599998,44.599998,4640198
2009-01-01,43.720001,50.470001,32.700001,41.680000,41.680000,5452571
2009-02-01,42.220001,45.299999,33.549999,44.759998,44.759998,5075519
2009-03-01,44.340000,54.660000,39.439999,49.660000,49.660000,5322078
2009-04-01,48.959999,53.900002,43.830002,51.119999,51.119999,4954274
2009-05-01,50.950001,66.639999,50.430000,66.309998,66.309998,5254102
2009-06-01,66.480003,73.379997,64.949997,69.889999,69.889999,5843371
2009-07-01,70.449997,71.849998,58.320000,69.449997,69.449997,6155493
2009-08-01,69.300003,75.000000,65.230003,69.959999,69.959999,5930812
2009-09-01,69.559998,73.160004,65.050003,70.610001,70.610001,5938598
2009-10-01,70.400002,82.000000,68.050003,77.000000,77.000000,7286480
2009-11-01,77.019997,81.059998,72.389999,77.279999,77.279999,6674756
2009-12-01,77.349998,80.000000,68.589996,79.360001,79.360001,5820203
2010-01-01,79.629997,83.949997,72.430000,72.889999,72.889999,5645255
2010-02-01,72.839996,80.510002,69.500000,79.660004,79.660004,6769263
2010-03-01,79.839996,83.849998,78.059998,83.760002,83.760002,6836560
2010-04-01,83.360001,87.089996,80.529999,86.150002,86.150002,7622339
2010-05-01,86.199997,87.150002,64.239998,73.970001,73.970001,8409610
2010-06-01,73.970001,79.379997,69.510002,75.629997,75.629997,7515626
2010-07-01,75.370003,79.690002,71.089996,78.949997,78.949997,6459054
2010-08-01,78.949997,82.970001,70.760002,71.919998,71.919998,7019320
2010-09-01,71.699997,80.180000,71.669998,79.970001,79.970001,7092675
2010-10-01,79.839996,84.430000,79.349998,81.430000,81.430000,6834324
2010-11-01,81.449997,88.629997,80.059998,84.110001,84.110001,7047186
2010-12-01,83.660004,92.059998,83.629997,91.379997,91.379997,5666635
2011-01-01,91.309998,92.839996,85.110001,92.190002,92.190002,7342599
2011-02-01,92.199997,103.410004,83.849998,96.970001,96.970001,6702855
2011-03-01,96.970001,106.949997,96.220001,106.720001,106.720001,7142807
2011-04-01,106.620003,114.180000,105.309998,113.930000,113.930000,5906063
2011-05-01,113.889999,114.830002,94.629997,102.699997,102.699997,7956821
2011-06-01,102.680000,103.309998,89.610001,95.419998,95.419998,7612897
2011-07-01,95.120003,100.620003,93.449997,95.699997,95.699997,5712768
2011-08-01,96.199997,98.599998,75.709999,88.809998,88.809998,8623260
2011-09-01,88.730003,90.519997,77.110001,79.199997,79.199997,6687717
2011-10-01,78.919998,94.650002,74.949997,93.190002,93.190002,6923687
2011-11-01,92.580002,103.370003,89.169998,100.360001,100.360001,6546619
2011-12-01,100.510002,102.440002,92.519997,98.830002,98.830002,4905263
2012-01-01,99.699997,103.739998,97.400002,98.480003,98.480003,5698759
2012-02-01,98.379997,109.949997,95.440002,107.070000,107.070000,5837415
2012-03-01,106.820000,110.550003,102.129997,103.019997,103.019997,6022417
2012-04-01,103.269997,105.489998,100.680000,104.870003,104.870003,4682534
2012-05-01,104.889999,106.430000,85.860001,86.529999,86.529999,6008992
2012-06-01,86.440002,87.029999,77.279999,84.959999,84.959999,6321933
2012-07-01,84.650002,92.940002,82.099998,88.059998,88.059998,5496180
2012-08-01,88.029999,98.290001,86.919998,96.470001,96.470001,5267722
2012-09-01,96.379997,100.419998,88.949997,92.190002,92.190002,4549667
2012-10-01,92.150002,93.660004,84.660004,86.239998,86.239998,5491372
2012-11-01,86.099998,89.800003,84.050003,88.910004,88.910004,5396754
